,host_is_superhost,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price
161,1,1,0,1.0,9,37.73626,-122.43677,1,0,4,1.0,2.0,2.0,4,3.0,211.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,220.0
162,0,3,1,4.0,16,37.75757,-122.41939,1,1,1,2.0,1.0,1.0,4,3.0,99.0,96.0,10.0,9.0,10.0,10.0,10.0,10.0,75.0
164,1,3,0,1.0,15,37.80318,-122.42977,1,0,2,1.0,1.0,1.0,4,5.0,34.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
165,1,1,0,1.0,11,37.77311,-122.44979,11,0,2,1.0,1.0,1.0,3,2.0,419.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,138.0
167,0,3,1,1.0,19,37.8034,-122.40485,20,0,2,1.0,1.0,1.0,4,30.0,2.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,182.0
172,1,3,1,1.0,18,37.74446,-122.43776,15,0,8,1.0,3.0,5.0,4,2.0,338.0,96.0,10.0,9.0,10.0,10.0,10.0,9.0,295.0
174,1,3,0,1.0,29,37.80242,-122.4144,11,0,2,1.0,1.0,1.0,4,3.0,433.0,95.0,10.0,9.0,10.0,10.0,10.0,10.0,165.0
175,0,3,0,5.0,11,37.77118,-122.44963,15,1,2,2.0,1.0,1.0,4,1.0,397.0,93.0,10.0,10.0,10.0,10.0,10.0,10.0,92.0
176,0,3,0,1.0,16,37.75551,-122.40882,8,0,4,2.0,2.0,2.0,4,7.0,5.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,245.0
177,0,3,0,5.0,11,37.77108,-122.44942,15,1,4,2.0,1.0,2.0,4,1.0,369.0,90.0,10.0,9.0,10.0,10.0,10.0,9.0,98.0
